pathway,D,p,n,variance
HALLMARK_HEME_METABOLISM,6.6569153423463,2.20335592456268e-07,882,0.017807073570779597
HALLMARK_DNA_REPAIR,5.384924797067439,4.1216888455693645e-06,882,0.058020399408847595
HALLMARK_ESTROGEN_RESPONSE_LATE,5.096216153100562,8.012791587493319e-06,882,0.047728063501963604
HALLMARK_BILE_ACID_METABOLISM,4.809134513363222,1.5519062659663484e-05,882,0.04000926123644875
HALLMARK_KRAS_SIGNALING_UP,3.976334895562717,0.00010560028843806775,882,0.11668802428802964
HALLMARK_UV_RESPONSE_DN,3.7201215591382906,0.00019049274536472473,882,0.11672687482492218
HALLMARK_PI3K_AKT_MTOR_SIGNALING,3.570522764108984,0.0002688296928798568,882,0.028042549338275678
HALLMARK_PROTEIN_SECRETION,3.5444194347710787,0.0002854832059695755,882,0.06467211911540102
HALLMARK_ESTROGEN_RESPONSE_EARLY,3.2042360590426915,0.0006248329749732286,882,0.08725560851356393
HALLMARK_TGF_BETA_SIGNALING,3.168661109124339,0.0006781704946373408,882,0.10033985805252081
HALLMARK_ADIPOGENESIS,2.8969569794042775,0.0012677774438743447,882,0.05292211724439442
HALLMARK_MYC_TARGETS_V2,2.292747641136383,0.005096269179023373,882,0.2682232722588761
HALLMARK_HEDGEHOG_SIGNALING,2.260183727675324,0.005493084405255602,882,0.10271007059940856
HALLMARK_E2F_TARGETS,2.2498201118397794,0.00562574299597906,882,0.3020160214372786
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.185110565325786,0.006529642958704794,882,0.11929514998291327
HALLMARK_HYPOXIA,2.1108395565789673,0.007747479636664171,882,0.05780760547599777
HALLMARK_GLYCOLYSIS,2.071982479829275,0.008472615934105808,882,0.03788584821831385
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1.9877435385318132,0.010286235460660905,882,0.05296984720450479
HALLMARK_MYOGENESIS,1.948212153034067,0.01126646954223037,882,0.09407170725540243
HALLMARK_MTORC1_SIGNALING,1.8481410826620213,0.014185966088617424,882,0.08840473512537646
HALLMARK_G2M_CHECKPOINT,1.819350768936879,0.015158255779932368,882,0.22302524736658927
HALLMARK_PANCREAS_BETA_CELLS,1.6678812783996206,0.021484176994774763,882,0.05449510795403663
HALLMARK_ANDROGEN_RESPONSE,1.6099043489614082,0.024552496117452645,882,0.05029797894734116
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,1.5886763431440598,0.025782418693937888,882,0.0783031420401211
HALLMARK_MYC_TARGETS_V1,1.5651239406914703,0.027219244035821846,882,0.20177415742508367
HALLMARK_ANGIOGENESIS,1.54221896941191,0.028693335116230054,882,0.13533826168202265
HALLMARK_XENOBIOTIC_METABOLISM,1.359781581858635,0.04367354227714665,882,0.03856281837297363
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.0526023444772137,0.08859264244118925,882,0.15516753671435943
HALLMARK_INFLAMMATORY_RESPONSE,1.0271882339214717,0.0939316099598374,882,0.176927868254059
HALLMARK_COMPLEMENT,0.952314990182625,0.11160534898289393,882,0.10144845004538199
HALLMARK_APICAL_JUNCTION,0.9254564434664566,0.11872537678694671,882,0.07684999025898996
HALLMARK_UV_RESPONSE_UP,0.9217697615806097,0.11973751437867129,882,0.0322257175653865
HALLMARK_IL2_STAT5_SIGNALING,0.8513139516411757,0.14082703911774563,882,0.08815284542361494
HALLMARK_MITOTIC_SPINDLE,0.7574906004502515,0.17478710916427997,882,0.07101435344985153
HALLMARK_FATTY_ACID_METABOLISM,0.6984485826338487,0.20024026777374188,882,0.04113371511403275
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5903979146326875,0.25680417816956136,882,0.1812343962651118
HALLMARK_COAGULATION,0.5404790571605925,0.2880851968798797,882,0.09029695669855341
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.4672128183323087,0.3410257570269748,882,0.07912255858728254
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.42519661555782023,0.37566729216552863,882,0.05428408112334209
HALLMARK_P53_PATHWAY,0.4053641301878312,0.39322024532916733,882,0.04359103976956729
HALLMARK_APOPTOSIS,0.3403480500730367,0.45672201907149357,882,0.050761630954184116
HALLMARK_PEROXISOME,0.26615794433354595,0.5418038112116542,882,0.0232693542536856
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.24580827829831522,0.5677952064249661,882,0.36510770844225443
HALLMARK_NOTCH_SIGNALING,0.22866124148303046,0.590661628597341,882,0.06951507934278249
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.08839958837967048,0.8158313906861561,882,0.24546054933309852
HALLMARK_ALLOGRAFT_REJECTION,0.07461543536119092,0.8421405209542627,882,0.2696795991501595
HALLMARK_SPERMATOGENESIS,0.052180476948645416,0.8867874189447642,882,0.03115734653823211
HALLMARK_KRAS_SIGNALING_DN,0.038342884986629265,0.915497399503032,882,0.039166331331189026
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.03389915889114072,0.9249129093764262,882,0.27844226079926815
HALLMARK_APICAL_SURFACE,0.026912311112205815,0.9399130703129247,882,0.05751014821298038
